iter,wake_time_s,wake_jitter_us,period_us,sensor_us,control_us,actuator_us,total_exec_us,overrun_period,overrun_budget,speed,voltage
0,424428.757050,109,10109,0,0,0,0,1,0,1.025000,20.500000
1,424428.767030,89,9979,0,0,0,0,0,0,1.918687,18.898750
2,424428.777023,82,9993,0,0,0,0,0,0,2.698525,17.515441
3,424428.787031,90,10007,0,0,0,0,1,0,3.379641,16.320839
4,424428.797023,82,9991,0,0,0,0,0,0,3.975140,15.289626
5,424428.807026,85,10003,0,0,0,0,1,0,4.496377,14.399870
6,424428.817046,104,10019,0,0,0,0,1,0,4.953187,13.632578
7,424428.827047,106,10001,0,0,0,0,1,0,5.354092,12.971299
8,424428.837054,113,10007,0,0,0,0,1,0,5.706477,12.401783
9,424428.847025,84,9970,0,0,0,0,0,0,6.016737,11.911690
10,424428.857064,123,10039,0,0,0,0,1,0,6.290417,11.490332
11,424428.867031,90,9966,0,0,0,0,0,0,6.532319,11.128452
12,424428.877028,87,9996,0,0,0,0,0,0,6.746605,10.818032
13,424428.887024,83,9996,0,0,0,0,0,0,6.936881,10.552131
14,424428.897044,103,10020,0,0,0,0,1,0,7.106274,10.324734
15,424428.907033,92,9988,0,0,0,0,0,0,7.257492,10.130635
16,424428.917030,89,9997,0,0,0,0,0,0,7.392883,9.965324
17,424428.927027,86,9996,0,0,0,0,0,0,7.514484,9.824897
18,424428.937025,84,9997,0,0,0,0,0,0,7.624058,9.705971
19,424428.947025,84,10000,0,0,0,0,0,0,7.723136,9.605620
20,424428.957024,83,9998,0,0,0,0,0,0,7.813045,9.521307
21,424428.967045,104,10020,0,0,0,0,1,0,7.894935,9.450837
22,424428.977025,84,9980,0,0,0,0,0,0,7.969803,9.392311
23,424428.987081,140,10055,0,0,0,0,1,0,8.038517,9.344084
24,424428.997038,97,9957,0,0,0,0,0,0,8.101828,9.304730
25,424429.007073,132,10035,0,0,0,0,1,0,8.160387,9.273017
26,424429.017044,102,9970,0,0,0,0,0,0,8.214762,9.247879
27,424429.027046,105,10002,0,0,0,0,1,0,8.265443,9.228392
28,424429.037064,123,10018,0,0,0,0,1,0,8.312859,9.213756
29,424429.047061,120,9996,0,0,0,0,0,0,8.357380,9.203282
30,424429.057086,145,10025,0,0,0,0,1,0,8.399330,9.196371
31,424429.067077,136,9990,0,0,0,0,0,0,8.438989,9.192505
32,424429.077053,111,9975,0,0,0,0,0,0,8.476601,9.191238
33,424429.087065,123,10012,0,0,0,0,1,0,8.512380,9.192183
34,424429.097054,113,9989,0,0,0,0,0,0,8.546511,9.195006
35,424429.107055,113,10000,0,0,0,0,0,0,8.579157,9.199418
36,424429.117055,114,10000,0,0,0,0,0,0,8.610457,9.205169
37,424429.127052,111,9997,0,0,0,0,0,0,8.640537,9.212045
38,424429.137073,131,10020,0,0,0,0,1,0,8.669503,9.219860
39,424429.147073,132,10000,0,0,0,0,0,0,8.697450,9.228452
40,424429.157027,86,9953,0,0,0,0,0,0,8.724462,9.237685
41,424429.167025,84,9998,0,0,0,0,0,0,8.750611,9.247438
42,424429.177034,93,10008,0,21,0,21,1,0,8.775961,9.257610
