sample_time_s,cpu_pct,mem_used_mb,mem_total_mb,mem_pct,gpu_pct,gpu_available
424428.847196,-1.00,3392.23,14885.34,22.79,0.00,1
424428.947183,0.00,3392.23,14885.34,22.79,0.00,1
424429.047102,11.67,3392.23,14885.34,22.79,0.00,1
424429.147103,16.95,3392.18,14885.34,22.79,0.00,1
424429.247104,0.00,3392.18,14885.34,22.79,0.00,1
424429.347106,4.84,3392.18,14885.34,22.79,0.00,1
424429.447104,3.33,3392.18,14885.34,22.79,0.00,1
424429.547108,1.67,3392.18,14885.34,22.79,0.00,1
424429.647119,0.00,3392.18,14885.34,22.79,0.00,1
424429.747105,0.00,3392.18,14885.34,22.79,0.00,1
424429.847103,0.00,3392.18,14885.34,22.79,0.00,1
424429.947102,1.64,3392.18,14885.34,22.79,0.00,1
424430.047105,0.00,3392.18,14885.34,22.79,0.00,1
424430.147106,1.67,3392.18,14885.34,22.79,0.00,1
424430.247085,0.00,3392.18,14885.34,22.79,0.00,1
424430.347105,0.00,3392.18,14885.34,22.79,0.00,1
424430.447085,0.00,3392.18,14885.34,22.79,0.00,1
424430.547112,1.67,3392.18,14885.34,22.79,0.00,1
424430.647104,4.76,3392.18,14885.34,22.79,0.00,1
424430.747101,0.00,3392.18,14885.34,22.79,0.00,1
424430.847106,0.00,3392.18,14885.34,22.79,0.00,1
424430.947099,1.67,3392.18,14885.34,22.79,0.00,1
424431.047085,0.00,3392.18,14885.34,22.79,0.00,1
424431.147105,1.67,3392.18,14885.34,22.79,0.00,1
424431.247087,1.67,3392.18,14885.34,22.79,0.00,1
424431.347104,0.00,3392.18,14885.34,22.79,0.00,1
424431.447092,3.33,3392.18,14885.34,22.79,0.00,1
424431.547106,0.00,3392.18,14885.34,22.79,0.00,1
424431.647104,0.00,3392.18,14885.34,22.79,0.00,1
424431.747102,0.00,3392.18,14885.34,22.79,0.00,1
424431.847113,0.00,3392.14,14885.34,22.79,0.00,1
424431.947104,1.67,3392.14,14885.34,22.79,0.00,1
424432.047089,1.64,3392.14,14885.34,22.79,0.00,1
424432.147102,0.00,3392.14,14885.34,22.79,0.00,1
424432.247101,1.67,3392.14,14885.34,22.79,0.00,1
424432.347103,1.64,3392.14,14885.34,22.79,0.00,1
424432.447103,1.67,3392.11,14885.34,22.79,0.00,1
424432.547106,0.00,3392.11,14885.34,22.79,0.00,1
424432.647102,0.00,3392.11,14885.34,22.79,0.00,1
424432.747086,1.67,3392.11,14885.34,22.79,0.00,1
424432.847110,0.00,3392.11,14885.34,22.79,0.00,1
424432.947103,0.00,3392.11,14885.34,22.79,0.00,1
424433.047084,0.00,3392.11,14885.34,22.79,0.00,1
424433.147101,1.67,3392.11,14885.34,22.79,0.00,1
424433.247084,3.23,3392.11,14885.34,22.79,0.00,1
424433.347106,0.00,3392.11,14885.34,22.79,0.00,1
424433.447105,1.64,3392.11,14885.34,22.79,0.00,1
424433.547089,0.00,3392.11,14885.34,22.79,0.00,1
424433.647104,1.67,3392.11,14885.34,22.79,0.00,1
424433.747087,0.00,3392.11,14885.34,22.79,0.00,1
