iter,wake_jitter_us,period_us,sensor_us,control_us,actuator_us,total_exec_us,overrun_period,overrun_budget,speed,voltage
0,83,10083,0,0,0,0,1,0,1.025000,20.500000
1,87,10003,0,0,0,0,1,0,1.918687,18.898750
2,80,9993,0,0,0,0,0,0,2.698525,17.515441
3,89,10008,0,0,0,0,1,0,3.379641,16.320839
4,86,9997,0,0,0,0,0,0,3.975140,15.289626
5,87,10000,0,0,0,0,0,0,4.496377,14.399870
6,82,9994,0,0,0,0,0,0,4.953187,13.632578
7,90,10007,0,0,0,0,1,0,5.354092,12.971299
8,86,9996,0,0,0,0,0,0,5.706477,12.401783
9,101,10014,0,0,0,0,1,0,6.016737,11.911690
10,89,9988,0,0,0,0,0,0,6.290417,11.490332
11,84,9995,0,0,0,0,0,0,6.532319,11.128452
12,84,10000,0,0,0,0,0,0,6.746605,10.818032
13,83,9998,0,0,0,0,0,0,6.936881,10.552131
14,85,10002,0,0,0,0,1,0,7.106274,10.324734
15,89,10003,0,0,0,0,1,0,7.257492,10.130635
16,81,9992,0,0,0,0,0,0,7.392883,9.965324
17,83,10001,0,0,0,0,1,0,7.514484,9.824897
18,85,10002,0,0,0,0,1,0,7.624058,9.705971
19,101,10015,0,0,0,0,1,0,7.723136,9.605620
20,89,9987,0,0,0,0,0,0,7.813045,9.521307
21,85,9996,0,0,0,0,0,0,7.894935,9.450837
22,84,9998,0,0,0,0,0,0,7.969803,9.392311
23,108,10023,0,0,0,0,1,0,8.038517,9.344084
24,89,9980,0,0,0,0,0,0,8.101828,9.304730
25,89,10000,0,0,0,0,0,0,8.160387,9.273017
26,85,9996,0,0,0,0,0,0,8.214762,9.247879
27,83,9998,0,0,0,0,0,0,8.265443,9.228392
28,106,10022,0,0,0,0,1,0,8.312859,9.213756
29,100,9994,0,0,0,0,0,0,8.357380,9.203282
30,86,9985,0,19,0,19,0,0,8.399330,9.196371
31,86,9999,0,0,0,0,0,0,8.438989,9.192505
32,83,9997,0,0,0,0,0,0,8.476601,9.191238
33,82,10000,0,0,0,0,0,0,8.512380,9.192183
34,83,10000,0,0,0,0,0,0,8.546511,9.195006
35,122,10039,0,0,0,0,1,0,8.579157,9.199418
36,137,10014,0,0,0,0,1,0,8.610457,9.205169
37,103,9966,0,0,0,0,0,0,8.640537,9.212045
38,90,9986,0,0,0,0,0,0,8.669503,9.219860
39,100,10010,0,0,0,0,1,0,8.697450,9.228452
40,88,9988,0,0,0,0,0,0,8.724462,9.237685
41,94,10005,0,0,0,0,1,0,8.750611,9.247438
42,102,10008,0,0,0,0,1,0,8.775961,9.257610
43,89,9986,0,0,0,0,0,0,8.800568,9.268112
44,85,9996,0,0,0,0,0,0,8.824483,9.278869
45,87,10001,0,0,0,0,1,0,8.847750,9.289814
46,82,9995,0,0,0,0,0,0,8.870407,9.300894
47,81,9999,0,0,0,0,0,0,8.892490,9.312059
48,84,10002,0,0,0,0,1,0,8.914029,9.323269
49,100,10015,0,0,0,0,1,0,8.935052,9.334490
50,88,9988,0,0,0,0,0,0,8.955584,9.345691
51,85,9997,0,0,0,0,0,0,8.975647,9.356848
52,84,9998,0,0,0,0,0,0,8.995262,9.367939
53,84,10000,0,0,0,0,0,0,9.014446,9.378947
54,84,9999,0,0,0,0,0,0,9.033216,9.389856
55,82,9998,0,0,0,0,0,0,9.051588,9.400654
56,87,10005,0,0,0,0,1,0,9.069575,9.411331
57,84,9996,0,0,0,0,0,0,9.087191,9.421878
58,103,10019,0,0,0,0,1,0,9.104445,9.432288
59,101,9997,0,0,0,0,0,0,9.121351,9.442556
60,89,9987,0,0,0,0,0,0,9.137917,9.452678
61,84,9994,0,0,0,0,0,0,9.154154,9.462649
62,85,10000,0,0,0,0,0,0,9.170070,9.472468
63,86,10001,0,0,0,0,1,0,9.185673,9.482133
64,84,9997,0,0,0,0,0,0,9.200971,9.491643
65,83,9999,0,0,0,0,0,0,9.215973,9.500998
66,85,10002,0,0,0,0,1,0,9.230684,9.510196
67,86,10000,0,0,0,0,0,0,9.245112,9.519240
68,80,9994,0,0,0,0,0,0,9.259263,9.528129
69,100,10019,0,0,0,0,1,0,9.273143,9.536864
70,89,9989,0,0,0,0,0,0,9.286758,9.545447
71,83,9993,0,0,0,0,0,0,9.300114,9.553878
72,85,10001,0,0,0,0,1,0,9.313216,9.562161
73,105,10020,0,0,0,0,1,0,9.326070,9.570295
74,107,10001,0,0,0,0,1,0,9.338681,9.578284
75,87,9980,0,0,0,0,0,0,9.351053,9.586128
76,88,10000,0,0,0,0,0,0,9.363192,9.593831
77,82,9994,0,0,0,0,0,0,9.375102,9.601393
78,107,10024,0,0,0,0,1,0,9.386788,9.608818
79,100,9993,0,0,0,0,0,0,9.398254,9.616107
80,89,9988,0,0,0,0,0,0,9.409504,9.623263
81,84,9994,0,0,0,0,0,0,9.420543,9.630287
82,83,9999,0,0,0,0,0,0,9.431375,9.637181
83,104,10020,0,0,0,0,1,0,9.442004,9.643949
84,90,9985,0,0,0,0,0,0,9.452433,9.650591
85,103,10013,0,0,0,0,1,0,9.462667,9.657111
86,84,9980,0,0,0,0,0,0,9.472709,9.663510
87,104,10019,0,0,0,0,1,0,9.482563,9.669790
88,86,9982,0,0,0,0,0,0,9.492233,9.675954
89,101,10015,0,0,0,0,1,0,9.501721,9.682003
90,90,9988,0,0,0,0,0,0,9.511032,9.687940
91,101,10010,0,0,0,0,1,0,9.520169,9.693766
92,104,10003,0,0,0,0,1,0,9.529135,9.699485
93,112,10008,0,0,0,0,1,0,9.537933,9.705096
94,88,9975,0,0,0,0,0,0,9.546566,9.710603
95,107,10019,0,0,0,0,1,0,9.555038,9.716008
96,94,9986,0,0,0,0,0,0,9.563352,9.721312
97,87,9992,0,0,0,0,0,0,9.571510,9.726517
98,82,9995,0,0,0,0,0,0,9.579516,9.731625
99,100,10017,0,0,0,0,1,0,9.587372,9.736638
100,87,9987,0,0,0,0,0,0,9.595081,9.741557
101,97,10009,0,0,0,0,1,0,9.602647,9.746384
102,84,9987,0,0,0,0,0,0,9.610070,9.751122
103,85,10001,0,0,0,0,1,0,9.617355,9.755771
104,82,9996,0,0,0,0,0,0,9.624504,9.760333
105,82,10000,0,0,0,0,0,0,9.631520,9.764810
106,86,10004,0,0,0,0,1,0,9.638404,9.769203
107,81,9994,0,0,0,0,0,0,9.645159,9.773515
108,92,10011,0,0,0,0,1,0,9.651789,9.777746
109,101,10009,0,0,0,0,1,0,9.658294,9.781898
110,88,9986,0,0,0,0,0,0,9.664678,9.785972
111,86,9998,0,0,0,0,0,0,9.670943,9.789970
112,86,10000,0,0,0,0,0,0,9.677090,9.793894
113,82,9995,0,0,0,0,0,0,9.683123,9.797744
114,82,10000,0,0,0,0,0,0,9.689043,9.801523
115,99,10016,0,0,0,0,1,0,9.694852,9.805231
116,88,9989,0,0,0,0,0,0,9.700553,9.808869
117,86,9997,0,0,0,0,0,0,9.706147,9.812440
118,85,9999,0,0,0,0,0,0,9.711637,9.815944
119,101,10015,0,0,0,0,1,0,9.717025,9.819382
120,85,9984,0,0,0,0,0,0,9.722311,9.822757
121,84,9999,0,0,0,0,0,0,9.727499,9.826068
122,84,9999,0,0,0,0,0,0,9.732590,9.829317
123,107,10023,0,0,0,0,1,0,9.737586,9.832506
124,92,9984,0,0,0,0,0,0,9.742488,9.835635
125,84,9992,0,0,0,0,0,0,9.747299,9.838706
126,82,9998,0,0,0,0,0,0,9.752020,9.841719
127,88,10005,0,0,0,0,1,0,9.756653,9.844676
128,106,10018,0,0,0,0,1,0,9.761199,9.847578
129,101,9994,0,0,0,0,0,0,9.765660,9.850425
130,87,9986,0,0,0,0,0,0,9.770038,9.853220
131,85,9997,0,0,0,0,0,0,9.774335,9.855962
132,85,10000,0,0,0,0,0,0,9.778550,9.858653
133,84,10000,0,0,0,0,0,0,9.782688,9.861293
134,83,9999,0,0,0,0,0,0,9.786747,9.863885
135,86,10002,0,0,0,0,1,0,9.790731,9.866428
136,85,9999,0,0,0,0,0,0,9.794641,9.868923
137,101,10015,0,0,0,0,1,0,9.798478,9.871372
138,82,9981,0,0,0,0,0,0,9.802242,9.873775
139,99,10016,0,0,0,0,1,0,9.805937,9.876133
140,91,9991,0,0,0,0,0,0,9.809562,9.878447
141,83,9992,0,0,0,0,0,0,9.813120,9.880718
142,100,10016,0,0,0,0,1,0,9.816612,9.882946
143,89,9989,0,0,0,0,0,0,9.820038,9.885133
144,84,9994,0,0,0,0,0,0,9.823400,9.887279
145,97,10012,0,0,0,0,1,0,9.826699,9.889385
146,84,9987,0,0,0,0,0,0,9.829937,9.891452
147,83,9999,0,0,0,0,0,0,9.833114,9.893479
148,85,10001,0,0,0,0,1,0,9.836232,9.895469
149,98,10013,0,0,0,0,1,0,9.839291,9.897422
150,87,9989,0,0,0,0,0,0,9.842293,9.899339
151,102,10014,0,0,0,0,1,0,9.845240,9.901219
152,101,9998,0,0,0,0,0,0,9.848131,9.903065
153,103,10002,0,0,0,0,1,0,9.850968,9.904876
154,103,9999,0,0,0,0,0,0,9.853752,9.906653
155,91,9988,0,0,0,0,0,0,9.856485,9.908397
156,85,9994,0,0,0,0,0,0,9.859166,9.910108
157,85,9999,0,0,0,0,0,0,9.861797,9.911787
158,83,9997,0,0,0,0,0,0,9.864379,9.913435
159,126,10043,0,0,0,0,1,0,9.866913,9.915053
160,95,9968,0,0,0,0,0,0,9.869399,9.916640
161,84,9989,0,0,0,0,0,0,9.871839,9.918197
162,85,10000,0,0,0,0,0,0,9.874233,9.919725
163,83,9998,0,0,0,0,0,0,9.876583,9.921225
164,105,10021,0,0,0,0,1,0,9.878888,9.922697
165,106,10001,0,0,0,0,1,0,9.881151,9.924141
166,89,9983,0,0,0,0,0,0,9.883371,9.925558
167,83,9993,0,0,0,0,0,0,9.885550,9.926949
168,103,10019,0,0,0,0,1,0,9.887688,9.928313
169,89,9986,0,0,0,0,0,0,9.889787,9.929653
170,85,9995,0,0,0,0,0,0,9.891846,9.930967
171,83,9998,0,0,0,0,0,0,9.893866,9.932257
172,83,9999,0,0,0,0,0,0,9.895849,9.933522
173,106,10023,0,0,0,0,1,0,9.897795,9.934764
174,90,9983,0,0,0,0,0,0,9.899704,9.935983
175,86,9996,0,0,0,0,0,0,9.901578,9.937179
176,83,9996,0,0,0,0,0,0,9.903417,9.938353
177,83,9999,0,0,0,0,0,0,9.905221,9.939504
178,109,10025,0,0,0,0,1,0,9.906992,9.940634
179,86,9977,0,0,0,0,0,0,9.908729,9.941744
180,87,10001,0,0,0,0,1,0,9.910434,9.942832
181,98,10010,0,0,0,0,1,0,9.912108,9.943900
182,83,9985,0,0,0,0,0,0,9.913750,9.944948
183,112,10028,0,0,0,0,1,0,9.915361,9.945976
184,89,9976,0,0,0,0,0,0,9.916942,9.946986
185,101,10012,0,0,0,0,1,0,9.918494,9.947976
186,84,9982,0,0,0,0,0,0,9.920017,9.948948
187,83,9999,0,0,0,0,0,0,9.921511,9.949902
188,87,10003,0,0,0,0,1,0,9.922977,9.950838
189,100,10013,0,0,0,0,1,0,9.924416,9.951756
190,102,10002,0,0,0,0,1,0,9.925828,9.952657
191,98,9996,0,0,0,0,0,0,9.927214,9.953542
192,104,10005,0,0,0,0,1,0,9.928574,9.954410
193,89,9984,0,0,0,0,0,0,9.929908,9.955262
194,87,9998,0,0,0,0,0,0,9.931218,9.956097
195,101,10013,0,0,0,0,1,0,9.932503,9.956918
196,91,9989,0,0,0,0,0,0,9.933764,9.957722
197,83,9992,0,0,0,0,0,0,9.935001,9.958512
198,82,9999,0,0,0,0,0,0,9.936215,9.959287
199,84,10001,0,0,0,0,1,0,9.937407,9.960048
200,106,10022,0,0,0,0,1,0,9.938576,9.960794
201,88,9981,0,0,0,0,0,0,9.939724,9.961527
202,84,9996,0,0,0,0,0,0,9.940850,9.962246
203,86,10001,0,0,0,0,1,0,9.941955,9.962951
204,84,9997,0,0,0,0,0,0,9.943039,9.963643
205,84,10000,0,0,0,0,0,0,9.944104,9.964322
206,108,10024,0,0,0,0,1,0,9.945148,9.964989
207,92,9983,0,0,0,0,0,0,9.946173,9.965643
208,86,9993,0,0,0,0,0,0,9.947178,9.966285
209,85,9999,0,0,0,0,0,0,9.948165,9.966915
210,103,10018,0,0,0,0,1,0,9.949133,9.967533
211,88,9984,0,0,0,0,0,0,9.950084,9.968139
212,84,9995,0,0,0,0,0,0,9.951016,9.968735
213,82,9998,0,0,0,0,0,0,9.951931,9.969319
214,84,10002,0,0,0,0,1,0,9.952829,9.969892
215,84,9999,0,0,0,0,0,0,9.953711,9.970454
216,81,9997,0,0,0,0,0,0,9.954575,9.971006
217,81,10000,0,0,0,0,0,0,9.955424,9.971548
218,98,10016,0,0,0,0,1,0,9.956257,9.972079
219,78,9980,0,0,0,0,0,0,9.957074,9.972601
220,94,10015,0,0,0,0,1,0,9.957876,9.973113
221,80,9986,0,0,0,0,0,0,9.958663,9.973615
222,78,9997,0,0,0,0,0,0,9.959435,9.974108
223,97,10018,0,0,0,0,1,0,9.960193,9.974592
224,83,9986,0,0,0,0,0,0,9.960937,9.975067
225,79,9996,0,0,0,0,0,0,9.961666,9.975532
226,78,9998,0,0,0,0,0,0,9.962383,9.975990
227,77,9999,0,0,0,0,0,0,9.963085,9.976438
228,93,10016,0,0,0,0,1,0,9.963775,9.976878
229,96,10002,0,0,0,0,1,0,9.964452,9.977310
230,96,9999,0,0,0,0,0,0,9.965116,9.977734
231,82,9985,0,0,0,0,0,0,9.965768,9.978150
232,80,9997,0,0,0,0,0,0,9.966407,9.978558
233,96,10016,0,0,0,0,1,0,9.967035,9.978959
234,87,9991,0,0,0,0,0,0,9.967651,9.979352
235,81,9993,0,0,0,0,0,0,9.968255,9.979738
236,78,9997,0,0,0,0,0,0,9.968848,9.980116
237,78,10000,0,0,0,0,0,0,9.969430,9.980488
238,79,10000,0,0,0,0,0,0,9.970001,9.980852
239,78,9999,0,0,0,0,0,0,9.970562,9.981210
240,96,10018,0,0,0,0,1,0,9.971112,9.981561
241,177,10081,0,5,0,5,1,0,9.971651,9.981905
242,97,9920,0,0,0,0,0,0,9.972181,9.982244
243,78,9980,0,0,0,0,0,0,9.972701,9.982575
244,80,10002,0,0,0,0,1,0,9.973211,9.982901
245,97,10016,0,0,0,0,1,0,9.973711,9.983220
246,105,10008,0,0,0,0,1,0,9.974202,9.983534
247,105,10000,0,0,0,0,0,0,9.974684,9.983841
248,91,9985,0,0,0,0,0,0,9.975157,9.984143
249,108,10017,0,0,0,0,1,0,9.975621,9.984439
250,88,9979,0,0,0,0,0,0,9.976077,9.984730
251,83,9994,0,22,0,22,0,0,9.976524,9.985015
252,85,10002,0,0,0,0,1,0,9.976962,9.985295
253,84,9999,0,0,0,0,0,0,9.977393,9.985570
254,82,9997,0,0,0,0,0,0,9.977815,9.985840
255,82,9999,0,0,0,0,0,0,9.978229,9.986104
256,85,10002,0,0,0,0,1,0,9.978636,9.986364
257,83,9998,0,0,0,0,0,0,9.979035,9.986619
258,105,10021,0,0,0,0,1,0,9.979427,9.986869
259,85,9980,0,0,0,0,0,0,9.979811,9.987114
260,83,9998,0,0,0,0,0,0,9.980188,9.987355
261,85,10002,0,0,0,0,1,0,9.980559,9.987591
262,83,9997,0,0,0,0,0,0,9.980922,9.987823
263,82,9999,0,0,0,0,0,0,9.981278,9.988050
264,106,10024,0,0,0,0,1,0,9.981628,9.988273
265,86,9979,0,0,0,0,0,0,9.981971,9.988493
266,83,9996,0,0,0,0,0,0,9.982308,9.988708
267,88,10005,0,0,0,0,1,0,9.982639,9.988918
268,101,10013,0,0,0,0,1,0,9.982963,9.989125
269,105,10003,0,0,0,0,1,0,9.983281,9.989329
270,87,9982,0,0,0,0,0,0,9.983594,9.989528
271,81,9994,0,0,0,0,0,0,9.983900,9.989724
272,84,10003,15,0,0,15,1,0,9.984201,9.989916
273,109,10024,0,0,0,0,1,0,9.984496,9.990104
274,84,9975,0,0,0,0,0,0,9.984786,9.990289
275,82,9997,0,0,0,0,0,0,9.985070,9.990470
276,83,10001,0,0,0,0,1,0,9.985349,9.990648
277,83,10000,0,0,0,0,0,0,9.985622,9.990823
278,80,9997,0,0,0,0,0,0,9.985891,9.990995
279,82,10001,0,0,0,0,1,0,9.986155,9.991163
280,84,10001,0,0,0,0,1,0,9.986413,9.991328
